ID,Project,File Upload Id,Mark,Quantity,Area,Location,Door Ref,Door Size,Door Width,Door Height,Door Thickness,Door Material,Fire Rating,Frame Ref,Frame Size,Frame Width,Frame Height,Frame Throat,Hardware Ref,Remarks,Extra,Hardware Sets,Sync to Openings
3077,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",213,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3078,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",213,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3079,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",214,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3080,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",214,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3081,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",215,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3082,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",215,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3083,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",216,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3084,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",216,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3085,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",217,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3086,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",217,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,3,,MATERIAL: SC WOOD; ACC.: 1H; STC: ---,,
3087,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",218,,ACC PREM KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3088,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",218,,ACC PREM KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3089,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",219,,ACC KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3090,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",219,,ACC KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3091,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",220A,,ELEV LOBBY,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,29,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3092,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",220B,,ICE,,D-16,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,29,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3093,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",221,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3094,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",221,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3095,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",222C,,ELEC,,D-03,"2'-8"" x 7'-0""","2'-8""","7'-0""","1 3/4""",,,,,,,,29,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3096,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",223,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3097,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",223,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3098,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",224,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3099,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",224,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3100,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",225,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3101,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",225,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3102,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",226,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3103,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",226,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3104,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",227,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3105,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",227,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3106,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",228,,PREM KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3107,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",228,,PREM KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3108,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",229,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3109,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",229,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3110,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",230,,PREM KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3111,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",230,,PREM KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3112,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",231,,PREM KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3113,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",231,,PREM KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3114,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",232,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3115,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",232,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3116,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",233,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3117,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",233,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3118,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",235,,STORAGE,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,29,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3119,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",236,,CORRIDOR,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,5,,MATERIAL: SC WOOD; ACC.: 1.5H; STC: ---,,
3120,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",236,,CORRIDOR,,D-05,"6'-0"" x 7'-0""","6'-0""","7'-0""","1 3/4""",,,,,,,,5,,MATERIAL: SC WOOD; ACC.: 1.5H; STC: ---,,
3121,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",301,,STORAGE,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,29,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3122,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",302,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3123,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",302,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3124,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",303,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3125,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",303,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3126,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",304,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3127,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",304,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3128,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",305,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3129,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",305,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3130,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",306,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3131,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",306,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3132,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",307,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3133,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",307,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,3,,MATERIAL: SC WOOD; ACC.: 1H; STC: ---,,
3134,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",308,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3135,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",308,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3136,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",309,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3137,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",309,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3138,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",309,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,3,,MATERIAL: SC WOOD; ACC.: 1H; STC: ---,,
3139,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",310,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3140,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",310,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3141,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",311,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3142,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",311,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3143,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",312,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3144,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",312,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3145,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",313,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3146,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",313,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3147,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",314,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3148,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",314,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3149,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",315,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3150,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",315,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3151,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",316,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3152,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",316,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3153,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",317,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3154,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",317,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,3,,MATERIAL: SC WOOD; ACC.: 1H; STC: ---,,
3155,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",318,,ACC PREM KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3156,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",318,,ACC PREM KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3157,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",319,,ACC DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3158,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",319,,ACC DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3159,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",320A,,ELEV LOBBY,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,29,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3160,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",320B,,ICE,,D-16,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,29,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3161,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",321,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3162,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",321,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3163,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",322C,,ELEC,,D-03,"2'-8"" x 7'-0""","2'-8""","7'-0""","1 3/4""",,,,,,,,29,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3164,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",323,,DBL QUEEN,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3165,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",323,,DBL QUEEN,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3166,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",324,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3167,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",324,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3168,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",325,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3169,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",325,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3170,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",326,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3171,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",326,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3172,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",327,,KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
3173,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",327,,KING,,D-05,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,1,,MATERIAL: SC WOOD; ACC.: 20; STC: ---,,
3174,"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA 2025-06-30 23:14""",328,,PREM KING,,D-04,"3'-0"" x 7'-0""","3'-0""","7'-0""","1 3/4""",,,,,,,,2,,MATERIAL: SC WOOD; ACC.: ---; STC: ---,,
